Samples,Replicates,Total,trt
WT,A,30,Sand
WT,A,24,Sand
WT,A,15,Sand
WT,B,20,Sand
WT,B,62,Sand
WT,B,37,Sand
WT,C,44,Sand
WT,C,12,Sand
WT,C,26,Sand
cyclops-3,A,18,Sand
cyclops-3,A,16,Sand
cyclops-3,A,30,Sand
cyclops-3,B,20,Sand
cyclops-3,B,40,Sand
cyclops-3,B,14,Sand
cyclops-3,C,14,Sand
cyclops-3,C,4,Sand
cyclops-3,C,12,Sand
cyclops-4,A,14,Sand
cyclops-4,A,20,Sand
cyclops-4,A,8,Sand
cyclops-4,B,21,Sand
cyclops-4,B,25,Sand
cyclops-4,B,15,Sand
cyclops-4,C,8,Sand
cyclops-4,C,23,Sand
cyclops-4,C,10,Sand
ccamk-13,A,11,Sand
ccamk-13,A,8,Sand
ccamk-13,A,9,Sand
ccamk-13,B,6,Sand
ccamk-13,B,15,Sand
ccamk-13,B,10,Sand
ccamk-13,C,17,Sand
ccamk-13,C,12,Sand
ccamk-13,C,16,Sand
cyclops-3,A,18,Sand
cyclops-3,A,16,Sand
cyclops-3,A,30,Sand
cyclops-3,B,20,Sand
cyclops-3,B,40,Sand
cyclops-3,B,14,Sand
cyclops-3,C,14,Sand
cyclops-3,C,4,Sand
cyclops-3,C,12,Sand
cyclops-4,A,14,Sand
cyclops-4,A,20,Sand
cyclops-4,A,8,Sand
cyclops-4,B,21,Sand
cyclops-4,B,25,Sand
cyclops-4,B,15,Sand
cyclops-4,C,8,Sand
cyclops-4,C,23,Sand
cyclops-4,C,10,Sand
ccamk-13,A,11,Sand
ccamk-13,A,8,Sand
ccamk-13,A,9,Sand
ccamk-13,B,6,Sand
ccamk-13,B,15,Sand
ccamk-13,B,10,Sand
ccamk-13,C,17,Sand
ccamk-13,C,12,Sand
ccamk-13,C,16,Sand
